,Name,Latitude,Longitude,Location,Responsible,Type,WaterArea,Started,Closed,BlueFlag
9,Ved Kongelundskroen,"55,56278059475752","12,56134220358073",,DRAGØR KOMMUNE,Badevandsstation,Køge Bugt,31.12.1990 00.00.00,,False
10,Amager Sydstrand,"55,58107234553681","12,658562241276446",,DRAGØR KOMMUNE,Badevandsstation,Køge Bugt,31.12.1990 00.00.00,,False
11,Dragør Nordstrand,"55,6034555531332","12,673227748026212",,DRAGØR KOMMUNE,Badevandsstation,Nordlige Øresund,31.12.1990 00.00.00,,False
13,Søvang,"55,56501192136597","12,621983729910687",,DRAGØR KOMMUNE,Badevandsstation,Køge Bugt,31.12.1990 00.00.00,,False
14,"Dragør søbad, nord","55,58702896235373","12,675851272827456",,DRAGØR KOMMUNE,Badevandsstation,Køge Bugt,31.12.1990 00.00.00,,False
22,Hellerup Strand,"55,73263178861659","12,582466140588627",,GENTOFTE KOMMUNE,Badevandsstation,Nordlige Øresund,01.01.1990 00.00.00,,False
23,Skovshoved Syd,"55,757942420660335","12,599509939936606",Ved badebroen,GENTOFTE KOMMUNE,Badevandsstation,Nordlige Øresund,01.01.2020 00.00.00,,False
25,Charlottenlund Strandpark,"55,74361092450652","12,58800020904251",,GENTOFTE KOMMUNE,Badevandsstation,Nordlige Øresund,31.12.1990 00.00.00,,False
26,Bellevue strand,"55,77668612950274","12,592493982366353",,GENTOFTE KOMMUNE,Badevandsstation,Nordlige Øresund,31.12.1990 00.00.00,,False
27,Skovshoved Havbad,"55,76357011803029","12,602211008096978",,GENTOFTE KOMMUNE,Badevandsstation,Nordlige Øresund,01.01.2018 00.00.00,,False
32,Syd for Kastrup Lystbådehavn,"55,64042268518959","12,653669704980267",,TÅRNBY KOMMUNE,Badevandsstation,Nordlige Øresund,01.01.2011 00.00.00,,False
33,Scanport badestation,"55,637046153925986","12,656759502800412",20 meter øst for parkeringsområdet ved  Jacob Fortlingsvej og akkurat nord for den Gamle skudehavn.,TÅRNBY KOMMUNE,Badevandsstation,Nordlige Øresund,14.02.2023 00.00.00,,False
37,"Kastrup Søbad, nord for Kastrup lystbådehavn","55,64545531901956","12,649543574382358",,TÅRNBY KOMMUNE,Badevandsstation,Nordlige Øresund,01.05.2005 00.00.00,,False
1988,Lodsparken,"55,62734519990664","12,502265612848722",,HVIDOVRE KOMMUNE,Badevandsstation,Kalveboderne,01.05.2010 00.00.00,,False
1990,Mørtelrenden,"55,62875482640816","12,503579982433282",Udmunding Mørtelrenden,HVIDOVRE KOMMUNE,Badevandsstation,Kalveboderne,10.03.2022 00.00.00,,False
1991,Hvidovre Havn,"55,62547529065108","12,503528533039788",Udmunding Hvidovre Havn,HVIDOVRE KOMMUNE,Badevandsstation,Kalveboderne,10.03.2022 00.00.00,,False
