"BathingwaterStationId";"Name";"Latitude";"Longitude";"Location";"Responsible";"Type";"WaterType";"WaterArea";"WaterAreaNumber";"Started";"Closed";"BlueFlag";"ProfileUrl";"Main"
"091c672b-6448-46b4-aa6c-5712660077cb";"100 m syd for Mølleåens udløb";"55,80729970707662";"12,583373710554557";"";"LYNGBY-TAARBÆK KOMMUNE";"Kontrolstation";"Marin";"Nordlige Øresund";"DK_Coast6";"31.12.1990 00.00.00";"";"False";"";""
"187bab69-b3af-41a4-b45b-6bf630da7f66";"Bombegrunden Taarbæk";"55,78231767359171";"12,59393821722037";"";"LYNGBY-TAARBÆK KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"06.01.2011 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/trbijihg.pdf";""
"dd78f8e4-33b2-4b11-a761-95030288e558";"Taarbæk Søbadeanstalt";"55,78534335752327";"12,595014957938027";"";"LYNGBY-TAARBÆK KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/asbcigyw.pdf";""
"a26e0cf3-217b-465e-92a5-c9b15cf2499c";"Frederiksdal Fribad";"55,78642927814993";"12,442899715056168";"";"LYNGBY-TAARBÆK KOMMUNE";"Badevandsstation";"Ferskvand";"Furesø";"DK_Lake806";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/yp5shye0.pdf";""
"866a2af1-108f-4cde-932f-eb0518a1c146";"Taarbæk Havn";"55,78702575968633";"12,595904147647682";"";"LYNGBY-TAARBÆK KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.05.2011 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/wtmxtivs.pdf";""
"649ef27d-0144-4ab0-8088-cf6d98bfb068";"Kulturbåden, Ishøj Havn";"55,610929896572635";"12,38962021796553";"";"ISHØJ KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"01.05.2005 00.00.00";"";"True";"https://b0301proddatasto.blob.core.windows.net/files/sui5tteu.pdf";""
"28fecf33-13c0-4978-927a-59a94e979659";"KBS, Jæger sø";"55,604647883208386";"12,381057301619618";"";"ISHØJ KOMMUNE";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.05.1990 00.00.00";"01.05.2005 00.00.00";"False";"";""
"49bfb398-dd92-4e92-bf33-5e5802abb19a";"Ishøj strand, Ud for Jæger sø";"55,60290004304192";"12,386719456929725";"";"ISHØJ KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"31.12.1990 00.00.00";"";"True";"https://b0301proddatasto.blob.core.windows.net/files/4udveskv.pdf";""
"fa5cc9e0-bd83-4250-b73b-499c4958d53a";"Syd for Dragør renseanlæg";"55,59869499300537";"12,675148740087172";"";"DRAGØR KOMMUNE";"Kontrolstation";"Marin";"Mangler";"Mangler";"31.12.1990 00.00.00";"01.06.2015 00.00.00";"False";"";""
"be6b1aa1-c2bc-4da6-ab62-7f1937360850";"Ved Kongelundskroen";"55,56278059475752";"12,56134220358073";"";"DRAGØR KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/sr4hrkpf.pdf";""
"414eced6-2a07-4e81-9aed-c6fa81f9f9a0";"Amager Sydstrand";"55,58107234553681";"12,658562241276446";"";"DRAGØR KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/slwi5su1.pdf";""
"6b0da2ae-4e80-477c-8d00-bbe2ec7c385c";"Dragør Nordstrand";"55,6034555531332";"12,673227748026212";"";"DRAGØR KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"31.12.1990 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/kzbtghje.pdf";""
